,company,diameter,topping,variant,size,extra_sauce,extra_cheese,extra_mushrooms,price
110,4.0,17.0,4.0,15.0,0.0,0.0,1.0,1.0,115000.0
111,4.0,12.0,9.0,6.0,3.0,1.0,1.0,1.0,123000.0
112,4.0,8.5,2.0,4.0,5.0,0.0,1.0,1.0,33000.0
113,4.0,12.0,4.0,4.0,3.0,1.0,1.0,1.0,46000.0
114,4.0,14.0,2.0,4.0,2.0,1.0,1.0,1.0,72000.0
115,4.0,12.0,2.0,5.0,3.0,0.0,0.0,1.0,76000.0
116,4.0,17.0,5.0,15.0,0.0,1.0,0.0,0.0,119000.0
117,4.0,12.0,9.0,6.0,3.0,1.0,0.0,0.0,126500.0
118,4.0,8.5,9.0,4.0,5.0,1.0,1.0,0.0,75000.0
119,4.0,12.0,5.0,4.0,3.0,1.0,1.0,0.0,46000.0
120,4.0,14.0,4.0,4.0,2.0,1.0,1.0,0.0,72000.0
121,4.0,12.0,9.0,5.0,3.0,0.0,1.0,0.0,49000.0
122,4.0,17.0,2.0,15.0,0.0,0.0,1.0,0.0,83000.0
123,4.0,12.0,5.0,6.0,3.0,0.0,1.0,1.0,96000.0
124,4.0,8.5,10.0,16.0,5.0,1.0,1.0,1.0,39000.0
125,4.0,12.0,10.0,16.0,3.0,1.0,1.0,1.0,72000.0
126,4.0,14.0,10.0,16.0,2.0,1.0,1.0,1.0,99000.0
127,4.0,8.5,3.0,0.0,5.0,1.0,0.0,1.0,44000.0
128,4.0,12.0,3.0,0.0,3.0,0.0,0.0,1.0,78000.0
